date,value
2026-05-16,7
2026-05-17,2
2026-05-18,2
2026-05-19,7
2026-05-20,24
2026-05-21,4
2026-05-22,3
2026-05-23,3
2026-05-24,3
2026-05-25,7
2026-05-26,2
2026-05-27,7
2026-05-28,7
2026-05-29,6
2026-05-30,2
2026-05-31,6
2026-06-01,5
2026-06-02,2
2026-06-03,2
2026-06-04,2
2026-06-05,3
2026-06-06,3
2026-06-07,6
2026-06-08,6
2026-06-09,2
2026-06-10,26
2026-06-11,6
2026-06-12,3
2026-06-13,7
2026-06-14,7
2026-06-15,7
2026-06-16,6
2026-06-17,5
2026-06-18,3
2026-06-19,5
2026-06-20,6
2026-06-21,4
2026-06-22,8
2026-06-23,22
2026-06-24,8
2026-06-25,2
2026-06-26,8
2026-06-27,8
2026-06-28,3
2026-06-29,7
2026-06-30,5
2026-07-01,4
2026-07-02,4
2026-07-03,3
2026-07-04,3
2026-07-05,8
2026-07-06,4
2026-07-07,2
2026-07-08,2
2026-07-09,5
2026-07-10,2
2026-07-11,4
2026-07-12,8
2026-07-13,4
2026-07-14,6
